provider,region,state,family,architecture,processor,vCPU,ram(GB),price($/h),N-price($/h),daily_price,N-daily_price,weekly_price,N-weekly_price,monthly_price,N-monthly_price
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,32,64,0.608,0.58958,14.59,14.1479,102.14,99.045,443.84,430.39
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,32,128,0.736,0.7137,17.66,17.1248,123.65,119.903,537.28,521.0
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,32,256,0.992,0.96194,23.81,23.0885,166.66,161.61,724.16,702.22
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,32,512,1.504,1.45842,36.1,35.0061,252.67,245.013,1097.92,1064.65
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,48,96,0.912,0.88436,21.89,21.2267,153.22,148.577,665.76,645.59
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,48,192,1.104,1.07055,26.5,25.697,185.47,179.85,805.92,781.5
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,48,384,1.488,1.44291,35.71,34.6279,249.98,242.405,1086.24,1053.32
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,48,768,2.256,2.18764,54.14,52.4994,379.01,367.525,1646.88,1596.97
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,64,128,1.216,1.17915,29.18,28.2958,204.29,198.099,887.68,860.78
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,64,256,1.472,1.42739,35.33,34.2594,247.3,239.806,1074.56,1042.0
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,64,512,1.984,1.92388,47.62,46.177,333.31,323.21,1448.32,1404.43
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,64,1024,3.008,2.91685,72.19,70.0024,505.34,490.027,2195.84,2129.3
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,96,192,1.824,1.76873,43.78,42.4533,306.43,297.144,1331.52,1291.17
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,96,384,2.208,2.14109,52.99,51.3842,370.94,359.699,1611.84,1563.0
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,96,768,2.976,2.88582,71.42,69.2558,499.97,484.819,2172.48,2106.65
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,96,1536,4.512,4.37527,108.29,105.0085,758.02,735.05,3293.76,3193.95
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,128,256,2.432,2.3583,58.37,56.6012,408.58,396.199,1775.36,1721.56
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,128,512,2.944,2.85479,70.66,68.5188,494.59,479.602,2149.12,2084.0
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,128,1024,3.968,3.84776,95.23,92.3442,666.62,646.419,2896.64,2808.86
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,128,2048,6.016,5.8337,144.38,140.0048,1010.69,980.063,4391.68,4258.6
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,192,384,3.648,3.53745,87.55,84.897,612.86,594.288,2663.04,2582.34
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,192,768,4.416,4.28218,105.98,102.7685,741.89,719.408,3223.68,3125.99
oci,global,global,E5,x86(AMD),AMD EPYC 9J14,192,1536,5.952,5.77164,142.85,138.5212,999.94,969.639,4344.96,4213.29
oci,global,global,E6,x86(AMD),AMD EPYC 9J45,2,4,0.038,0.02828,0.91,0.6772,6.38,4.748,27.74,20.64
oci,global,global,E6,x86(AMD),AMD EPYC 9J45,2,8,0.046,0.03423,1.1,0.8186,7.73,5.753,33.58,24.99
oci,global,global,E6,x86(AMD),AMD EPYC 9J45,2,16,0.062,0.04614,1.49,1.1088,10.42,7.754,45.26,33.68
oci,global,global,E6,x86(AMD),AMD EPYC 9J45,2,32,0.094,0.06995,2.26,1.6819,15.79,11.751,68.62,51.07
oci,global,global,E6,x86(AMD),AMD EPYC 9J45,4,8,0.076,0.05656,1.82,1.3544,12.77,9.503,55.48,41.29
